File Name,Text
a_sl_2010-1,"With a continued investment in technology research and development, EMG continued to introduce industry-leading technology solutions throughout fiscal 2010. New products included the world’s highest-bandwidth real-time oscilloscopes to complement our best-in-class spectrum and network analyzers. As a result, EMG now offers industry-leading solutions in every one of its core technology platforms. The business is well-positioned as we enter fiscal 2011."
a_sl_2010-1,"With a continued investment in technology research and development, EMG continued to introduce industry-leading technology solutions throughout fiscal 2010. New products included the world’s highest-bandwidth real-time oscilloscopes to complement our best-in-class spectrum and network analyzers. As a result, EMG now offers industry-leading solutions in every one of its core technology platforms. The business is well-positioned as we enter fiscal 2011."
a_sl_2010-2,"Applied chemical markets are experiencing strong growth driven by global megatrends. Developed countries are increasing food safety regulations as their food supply chains become more globalized. Developing countries are investing to ensure clean air, safe water and healthy food as their standards of living rise. Economies throughout the world also continue to invest in alternate sources of energy as well as traditional sources of energy."
a_sl_2010-2,"Applied chemical markets are experiencing strong growth driven by global megatrends. Developed countries are increasing food safety regulations as their food supply chains become more globalized. Developing countries are investing to ensure clean air, safe water and healthy food as their standards of living rise. Economies throughout the world also continue to invest in alternate sources of energy as well as traditional sources of energy."
a_sl_2010-3,"At the same time, LSG continues to introduce industry-leading technology platforms. New product introductions in fiscal 2010 included the world’s highest-pressure HPLC, the most sensitive LC-MS triple-quadrupole and the most discriminating genomic target enrichment system. The Varian acquisition adds capabilities in nuclear magnetic resonance, magnetic resonance imaging, x-ray crystallography and dissolution."
a_sl_2010-3,"At the same time, LSG continues to introduce industry-leading technology platforms. New product introductions in fiscal 2010 included the world’s highest-pressure HPLC, the most sensitive LC-MS triple-quadrupole and the most discriminating genomic target enrichment system. The Varian acquisition adds capabilities in nuclear magnetic resonance, magnetic resonance imaging, x-ray crystallography and dissolution."
a_sl_2010-4,"Fourth is our team. Agilent has a strong and established culture based on uncompromising integrity, teamwork and technical contribution. We have some of the highest retention rates in the industry. Our people provide us with the expertise and experience necessary to win in the marketplace."
a_sl_2010-4,"Fourth is our team. Agilent has a strong and established culture based on uncompromising integrity, teamwork and technical contribution. We have some of the highest retention rates in the industry. Our people provide us with the expertise and experience necessary to win in the marketplace."
a_sl_2010-5,"We remain diligent, focused on meeting our customers’ needs, meeting our financial commitments and returning value to our shareholders. At the same time, we continue to invest in current and future market opportunities. We are committed to maintaining our leadership as the world’s premier measurement company."
a_sl_2010-5,"We remain diligent, focused on meeting our customers’ needs, meeting our financial commitments and returning value to our shareholders. At the same time, we continue to invest in current and future market opportunities. We are committed to maintaining our leadership as the world’s premier measurement company."
aap_sl_2009-1,"In 2009, we continued to make progress on our turnaround which began in 2008. Our focus has been ondriving sustainable profit growth for our Team Members and stockholders through a relentless focus onliving and teaching our Advance values – to inspire and build the self-confidence and success of everyTeam Member, to serve our customers better than anyone else while helping them succeed, andto grow the business and profitability withintegrity. Our values form the foundationof how we do business and serve as thebasis of the measurement and rewardsystem for our entire team. Our valueshave been, and will continue to be, thefoundation for guiding our Company."
aap_sl_2009-1,"In 2009, we continued to make progress on our turnaround which began in 2008. Our focus has been ondriving sustainable profit growth for our Team Members and stockholders through a relentless focus onliving and teaching our Advance values – to inspire and build the self-confidence and success of everyTeam Member, to serve our customers better than anyone else while helping them succeed, andto grow the business and profitability withintegrity. Our values form the foundationof how we do business and serve as thebasis of the measurement and rewardsystem for our entire team. Our valueshave been, and will continue to be, thefoundation for guiding our Company."
aap_sl_2009-2,"Our customers, Team Members and external market share data validate that our choices and investments are paying off. With our third Team Calibration survey last fall, we saw further improvement in our team’s engagement in the success of our Company and business direction. Our Customer Satisfaction scores are also improving, which means our customers arenoticing our investments to better serve them."
aap_sl_2009-2,"Our customers, Team Members and external market share data validate that our choices and investments are paying off. With our third Team Calibration survey last fall, we saw further improvement in our team’s engagement in the success of our Company and business direction. Our Customer Satisfaction scores are also improving, which means our customers arenoticing our investments to better serve them."
aap_sl_2009-3,"Throughout this Annual Report, you can see photos and read stories about some of our Team Members who are living examples of how we are growing and transforming our business. Alongside these Team Members, you will also see and read about the customers they are serving better than anyone else. We’re here to make our customers’ lives easier. There’s nothing better than knowing you’ve helped someoneand made a difference in his or her day, and these customers are a testament to those relationships."
aap_sl_2009-3,"Throughout this Annual Report, you can see photos and read stories about some of our Team Members who are living examples of how we are growing and transforming our business. Alongside these Team Members, you will also see and read about the customers they are serving better than anyone else. We’re here to make our customers’ lives easier. There’s nothing better than knowing you’ve helped someoneand made a difference in his or her day, and these customers are a testament to those relationships."
aap_sl_2009-4,"In 2010, we will begin a new chapter at Advance. We are aware of the challenges that we need to overcome,and we are excited about our progress and our future. We will differentiate Advance by defining our Company’s purpose and integrating our values into every customer experience – ultimately creating Advance customers for life! Ourlong-term success will come from our focus on delivering a consistent and sustainable customer experience and developing lasting relationships."
aap_sl_2009-4,"In 2010, we will begin a new chapter at Advance. We are aware of the challenges that we need to overcome,and we are excited about our progress and our future. We will differentiate Advance by defining our Company’s purpose and integrating our values into every customer experience – ultimately creating Advance customers for life! Ourlong-term success will come from our focus on delivering a consistent and sustainable customer experience and developing lasting relationships."
aap_sl_2009-5,"We will ensure that our Team has the necessary leadership, processes, technology,training and development to deliver our value proposition on a consistent andprofitable basis. We will continue our focus on our four strategies. In addition,we will place a higher emphasis on the effectiveness of change, as well as the consistency of the customer experience through superior operations and execution."
aap_sl_2009-5,"We will ensure that our Team has the necessary leadership, processes, technology,training and development to deliver our value proposition on a consistent andprofitable basis. We will continue our focus on our four strategies. In addition,we will place a higher emphasis on the effectiveness of change, as well as the consistency of the customer experience through superior operations and execution."
abbv_sl_2012-1,"As an innovation-driven biopharmaceutical company, we’re focused on delivering breakthrough science. Our pipeline includes a number of medicines with the potential to be transformational for patients and offers significant opportunity for investors."
abbv_sl_2012-1,"As an innovation-driven biopharmaceutical company, we’re focused on delivering breakthrough science. Our pipeline includes a number of medicines with the potential to be transformational for patients and offers significant opportunity for investors."
abbv_sl_2012-2,"AbbVie represents a unique investment opportunity, with a number of attributes that set us apart from other healthcare companies. Our flagship product—Humira—delivered another year of outstanding performance in 2012, and is well positioned to continue to drive durable growth and cash flow generation for many years to come."
abbv_sl_2012-2,"AbbVie represents a unique investment opportunity, with a number of attributes that set us apart from other healthcare companies. Our flagship product—Humira—delivered another year of outstanding performance in 2012, and is well positioned to continue to drive durable growth and cash flow generation for many years to come."
adp_sl_2006-1,"ADP’s greatest strength is our team of 46,000 trained, dedicated, and committed associates who deliver World Class Service to our clients every day of the year. We are fortunate to attract and retain extremely motivated and talented associates whose most important attribute is that they really care for our clients and for ADP."
adp_sl_2006-1,"ADP’s greatest strength is our team of 46,000 trained, dedicated, and committed associates who deliver World Class Service to our clients every day of the year. We are fortunate to attract and retain extremely motivated and talented associates whose most important attribute is that they really care for our clients and for ADP."
adp_sl_2006-2,"On August 2, 2006, we announced the spin-off of our Brokerage Services Group. The spin-off is expected to create two well-positioned public companies: a double-digit organic growth company focused on the excellent opportunities in the payroll, human resources, and benefits market, as well as the large automotive market; and a steady growth company with excellent cash flows focused on the financial services industry, primarily brokerage. It will permit both companies to focus on the opportunities in their core markets, improve the capital structures required in their respective markets, and, we believe ultimately benefit our shareholders."
adp_sl_2006-2,"On August 2, 2006, we announced the spin-off of our Brokerage Services Group. The spin-off is expected to create two well-positioned public companies: a double-digit organic growth company focused on the excellent opportunities in the payroll, human resources, and benefits market, as well as the large automotive market; and a steady growth company with excellent cash flows focused on the financial services industry, primarily brokerage. It will permit both companies to focus on the opportunities in their core markets, improve the capital structures required in their respective markets, and, we believe ultimately benefit our shareholders."
adp_sl_2008-1,"We launched the RUN Powered by ADPSM platform, our web-based payroll service for small businesses and their accountants – early results and client receptivity have been terrific. And we’re really focused on the large opportunities for our Retirement Services and Workers’ Compensation Pay-by-Pay® solutions as extensions of our core offering for small businesses."
adp_sl_2008-1,"We launched the RUN Powered by ADPSM platform, our web-based payroll service for small businesses and their accountants – early results and client receptivity have been terrific. And we’re really focused on the large opportunities for our Retirement Services and Workers’ Compensation Pay-by-Pay® solutions as extensions of our core offering for small businesses."
adp_sl_2008-2,"Over the last three fiscal years ADP has returned nearly $5 billion in the form of share repurchases, buying back nearly 18% of the company’s outstanding shares, or just over 100 million shares, since the beginning of fiscal 2006. Our board of directors recently authorized an additional 50 million shares for repurchase, bringing total remaining share repurchase authorizations to about 60 million shares. We exited fiscal 2008 with $1.7 billion in cash and marketable securities on our balance sheet and generated $1.8 billion in operating cash flow. We continue to remain optimistic about ADP’s long-term opportunities for growth, and it is our intent, depending on market conditions, to continue to repurchase shares in fiscal 2009."
adp_sl_2008-2,"Over the last three fiscal years ADP has returned nearly $5 billion in the form of share repurchases, buying back nearly 18% of the company’s outstanding shares, or just over 100 million shares, since the beginning of fiscal 2006. Our board of directors recently authorized an additional 50 million shares for repurchase, bringing total remaining share repurchase authorizations to about 60 million shares. We exited fiscal 2008 with $1.7 billion in cash and marketable securities on our balance sheet and generated $1.8 billion in operating cash flow. We continue to remain optimistic about ADP’s long-term opportunities for growth, and it is our intent, depending on market conditions, to continue to repurchase shares in fiscal 2009."
aee_sl_2006-1,"In the midst of these major initiatives, the year also brought three historic storms. During the summer, two storms – just days apart – disrupted electric service for nearly 950,000 customers, many for several days. Then, in early December, the worst ice storm in nearly 30 years affected about 520,000 customers. These storms were in addition to tornados and other severe weather in March and April."
