Name,coder,Merged,env_a,comma_a,emp_a,div_a,con_a,cg_a,hr_a,env_s,comm_s,emp_s,div_s,con_s,cg_s,hr_s,csr
Daniel Aldave,1,a_sl_2010-1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1
Daniel Aldave,1,a_sl_2010-2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2
Daniel Aldave,1,a_sl_2010-3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,a_sl_2010-4,1,1,4,1,1,1,1,1,1,5,1,1,1,1,5
Daniel Aldave,1,a_sl_2010-5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2
Daniel Aldave,1,aap_sl_2009-1,1,1,4,1,1,1,1,1,1,5,1,1,4,1,4
Daniel Aldave,1,aap_sl_2009-2,1,1,5,1,5,1,1,1,1,5,1,5,1,1,5
Daniel Aldave,1,aap_sl_2009-3,1,1,4,1,4,1,1,1,1,5,1,5,1,1,6
Daniel Aldave,1,aap_sl_2009-4,1,1,1,1,5,1,1,1,1,1,1,6,1,1,5
Daniel Aldave,1,aap_sl_2009-5,1,1,1,1,1,1,1,1,1,6,1,6,1,1,5
Daniel Aldave,1,abbv_sl_2012-1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2
Daniel Aldave,1,abbv_sl_2012-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,adp_sl_2006-1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2
Daniel Aldave,1,adp_sl_2006-2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2
Daniel Aldave,1,adp_sl_2008-1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3
Daniel Aldave,1,adp_sl_2008-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,aee_sl_2005-5,5,1,1,1,5,1,1,5,1,1,1,5,1,1,6
Daniel Aldave,1,aee_sl_2006-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Daniel Aldave,1,aee_sl_2006-10,1,1,1,1,1,1,1,5,5,1,1,1,1,1,6
Daniel Aldave,1,aee_sl_2006-2,1,1,1,1,4,1,1,1,1,1,1,3,1,1,4
Daniel Aldave,1,aee_sl_2006-3,1,1,1,1,1,1,1,1,1,6,1,6,1,1,5
